scene,id,title,artist,videoId,focus,length,license
A1_curtain,a1_curtain-kwu7wrw3muy,Hot Swing,Kevin MacLeod,kWU7wrW3muY,3,51,CC BY 4.0
A2_intro,a2_intro-ftidfrnadqi,Ryno's Theme - .com,Kevin MacLeod,FTIdFrNaDqI,4,182,CC BY 4.0
A2_intro,a2_intro-ryuynwq38x0,dear Dragon Example of use: 100% Orange Juice Sweet Breaker's Theme etc.,MusMus,rYUynwQ38x0,4,195,Free with attribution (musmus.main.jp)
A2_intro,a2_intro-7hjr76oc9u0,'s - (Away and then Home) Intro Funky Music,TeknoAXE,7HjR76oC9u0,2,99,CC BY 4.0
A3_break,a3_break-5hpus4kcrfs,Vibe Ace,Kevin MacLeod,5hPus4kCrFs,5,64,CC BY 4.0
A3_break,a3_break-3fmbcuoroby,Bass Soli,Kevin MacLeod,3fMbCuORobY,4,66,CC BY 4.0
A4_close,a4_close-dyxj27za0dq,Close to Midnight - Electro Swing/Swing Hop,TeknoAXE,dyXJ27za0dQ,5,200,CC BY 4.0
B1_swing,b1_swing-xqo5gppa2vi,As I Figure,Kevin MacLeod,XQo5Gppa2vI,4,217,CC BY 4.0
B1_swing,b1_swing-3szoxbcjnle,Big Swing Band,Audionautix / Jason Shaw,3SZoXbcJNlE,4,111,CC BY 4.0
B1_swing,b1_swing-v0gc7fience,Don't Mean a Thing - Electro Swing,TeknoAXE,v0Gc7FIENcE,4,207,CC BY 4.0
B1_swing,b1_swing-ddmilm0cxg4,George Street Shuffle,Kevin MacLeod,DDmILM0cxg4,4,180,CC BY 4.0
B1_swing,b1_swing-bxdmpakyxrg,Hep Cats by,Kevin MacLeod,BxDmPAKyxrg,4,251,CC BY 4.0
B1_swing,b1_swing-vli9812n9v8,Hep cats,Kevin MacLeod,vLI9812N9V8,4,250,CC BY 4.0
B1_swing,b1_swing-tavpcxn-owg,Hot Foot - Electro Swing,TeknoAXE,taVPCxN-oWg,4,205,CC BY 4.0
B1_swing,b1_swing-c1zmyi3otns,Knock Knock - Electro Swing,TeknoAXE,C1zmYI3oTNs,4,226,CC BY 4.0
B1_swing,b1_swing-u-jjecipqty,Melody Man - Electro Swing,TeknoAXE,U-JjEcipQTY,4,240,CC BY 4.0
B1_swing,b1_swing-thbzsphsuto,New Type Menace - Electro Swing,TeknoAXE,THbZSPhSuto,4,197,CC BY 4.0
B1_swing,b1_swing-mqy_ybdyirg,Old Man of the Mountain - Swing Hop,TeknoAXE,mqY_ybDYIrg,4,221,CC BY 4.0
B1_swing,b1_swing-icqdt_oxlsa,Porch Swing Days - faster,Kevin MacLeod,iCqDt_OxLSA,4,187,CC BY 4.0
B1_swing,b1_swing-8wttod6l5io,Retro Jazz & Swing | Music Library | Bank Muzyki,Eric Matyas (Soundimage.org),8wttOD6l5Io,4,107,Free with attribution
B1_swing,b1_swing-vhij30x3cqu,Stomping at Midnight,Kevin MacLeod,VhIJ30X3CqU,4,122,CC BY 4.0
B1_swing,b1_swing-jlf_vsom20s,Stomping at Midnight Vinyl Recording,Kevin MacLeod,jlF_vSoM20s,4,119,CC BY 4.0
B1_swing,b1_swing-rtahc_olxje,Swing Machine,Kevin MacLeod,Rtahc_olXjE,4,138,CC BY 4.0
B1_swing,b1_swing-1zzqio6jprq,Wat Dat Dee - Electro Swing,TeknoAXE,1Zzqio6jPRQ,4,201,CC BY 4.0
B1_swing,b1_swing-b3kfmtgnbqg,Big Band Swingin' ( ),Eric Matyas (Soundimage.org),b3kfMTgnBqg,3,85,Free with attribution
B2_bebop,b2_bebop-jdmsi3iokqc,Awesome Call,Kevin MacLeod,JDMsI3iOKqc,3,153,CC BY 4.0
B2_bebop,b2_bebop-rqeyyi9p4bk,Be Bop 25,Audionautix / Jason Shaw,rqeYYi9P4Bk,2,143,CC BY 4.0
B2_bebop,b2_bebop-v99vsacpgai,Dispersion Relation,Kevin MacLeod,v99vSaCpgAI,2,245,CC BY 4.0
B2_bebop,b2_bebop-1glncqepziq,Faster Does It,Kevin MacLeod,1glncQEPzIQ,2,184,CC BY 4.0
B2_bebop,b2_bebop-egttmzsexhg,No Good Layabout,Kevin MacLeod,egTTMzSeXHg,2,187,CC BY 4.0
B3_cool,b3_cool-htvctalhgvu,'s - Royalty Free Song (Laid Back) Elevator Music?,TeknoAXE,htvCtAlhGvU,5,270,CC BY 4.0
